name,url,description,category,pricing,hasApi,tags,modelId,provider,author,pipelineTag,downloads,likes,license,isFree,freeTier,availability,licenseTier,modalityClass,capabilities,urlDomainTier,descriptionLengthTier,categorizationTier
sentence-transformers/clip-ViT-B-32-multilingual-v1,https://huggingface.co/sentence-transformers/clip-ViT-B-32-multilingual-v1,"sentence similarity (sentence-transformers) — license: apache-2.0 — 254,412 downloads",base-model,unknown,false,"[""sentence-transformers"",""pytorch"",""tf"",""onnx"",""safetensors"",""openvino"",""distilbert"",""feature-extraction"",""sentence-similarity"",""multilingual"",""text-embeddings-inference"",""endpoints_compatible""]",sentence-transformers/clip-ViT-B-32-multilingual-v1,sentence-transformers,sentence-transformers,sentence-similarity,254412,192,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
Cohere Rerank 3.5,https://docs.cohere.com/docs/rerank-overview#rerank-v3-5,Cohere's cross-encoder reranker API — the standard second-stage companion to embedding retrieval; scores query-document pairs for precision reordering.,hosted-service,unknown,true,"[""cohere"",""reranker"",""retrieval""]",rerank-v3.5,Cohere,,,,,,false,trial API key (rate-limited),api,proprietary,embedding,"[""reranker"",""multilingual""]",documentation,normal,specific
unslothai/vram-48,https://huggingface.co/unslothai/vram-48,"feature extraction (transformers) — 100,482 downloads",base-model,unknown,false,"[""transformers"",""safetensors"",""llama"",""feature-extraction"",""endpoints_compatible""]",unslothai/vram-48,unslothai,unslothai,feature-extraction,100482,0,,true,open weights — free to self-host (HF Hub),open-weight,open-weight,embedding,[],registry-hosted,normal,specific
Cohere Embed v4,https://docs.cohere.com/docs/cohere-embed#embed-v4-0,"Cohere's multimodal embedding model — text, images, and mixed PDFs in one vector space, with Matryoshka dimensions and int8/binary compression for vector-DB cost control.",hosted-service,unknown,false,"[""cohere"",""multimodal"",""compression""]",embed-v4.0,Cohere,,,,,,false,trial API key (rate-limited),api,proprietary,embedding,"[""multimodal-input"",""matryoshka-dimensions"",""binary-quantization"",""multilingual""]",documentation,normal,specific
microsoft/wavlm-large,https://huggingface.co/microsoft/wavlm-large,"feature extraction (transformers) — 1,376,832 downloads",base-model,unknown,false,"[""transformers"",""pytorch"",""wavlm"",""feature-extraction"",""speech"",""en""]",microsoft/wavlm-large,microsoft,microsoft,feature-extraction,1376832,111,,true,open weights — free to self-host (HF Hub),open-weight,open-weight,embedding,[],registry-hosted,normal,specific
Jina Embeddings v3,https://jina.ai/embeddings/#jina-embeddings-v3,"Jina AI's multilingual embedding model with task-specific LoRA adapters (retrieval, classification, clustering) and late-chunking support; open weights also published under a research license.",hosted-service,unknown,false,"[""jina"",""multilingual""]",jina-embeddings-v3,Jina AI,,,,,,false,free API key token allowance,api,proprietary,embedding,"[""task-adapters"",""matryoshka-dimensions"",""multilingual"",""late-chunking""]",commercial,normal,specific
allenai/specter2_base,https://huggingface.co/allenai/specter2_base,"feature extraction (transformers) — license: apache-2.0 — 552,701 downloads",base-model,unknown,false,"[""transformers"",""pytorch"",""bert"",""feature-extraction"",""en"",""text-embeddings-inference"",""endpoints_compatible""]",allenai/specter2_base,allenai,allenai,feature-extraction,552701,47,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
Voyage Code 3 (Voyage AI),https://docs.voyageai.com/docs/embeddings#voyage-code-3,Voyage AI's code-specialized embedding model — purpose-built for code retrieval and code-search RAG over large repositories.,hosted-service,unknown,false,"[""voyage"",""code-search""]",voyage-code-3,Voyage AI,,,,,,false,free tier token allowance,api,proprietary,embedding,"[""code-specialized"",""matryoshka-dimensions""]",documentation,normal,specific
optimum-intel-internal-testing/tiny-random-squeezebert,https://huggingface.co/optimum-intel-internal-testing/tiny-random-squeezebert,"feature extraction (transformers) — 79,276 downloads",base-model,unknown,false,"[""transformers"",""pytorch"",""safetensors"",""squeezebert"",""feature-extraction"",""endpoints_compatible""]",optimum-intel-internal-testing/tiny-random-squeezebert,optimum-intel-internal-testing,optimum-intel-internal-testing,feature-extraction,79276,0,,true,open weights — free to self-host (HF Hub),open-weight,open-weight,embedding,[],registry-hosted,normal,specific
Jina Reranker v2,https://jina.ai/reranker/#jina-reranker-v2-base-multilingual,Jina AI's multilingual cross-encoder reranker API — function-calling-aware and code-search-capable second-stage reranking.,hosted-service,unknown,true,"[""jina"",""reranker""]",jina-reranker-v2-base-multilingual,Jina AI,,,,,,false,free API key token allowance,api,proprietary,embedding,"[""reranker"",""multilingual"",""code-specialized""]",commercial,normal,specific
prithivida/Splade_PP_en_v2,https://huggingface.co/prithivida/Splade_PP_en_v2,"feature extraction (sentence-transformers) — license: apache-2.0 — 111,468 downloads",base-model,unknown,false,"[""sentence-transformers"",""pytorch"",""onnx"",""bert"",""splade++"",""document-expansion"",""sparse representation"",""bag-of-words"",""passage-retrieval"",""knowledge-distillation"",""document encoder"",""sparse-encoder""]",prithivida/Splade_PP_en_v2,prithivida,prithivida,feature-extraction,111468,33,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
Nomic Embed Text v2,https://docs.nomic.ai/atlas/models/text-embedding#nomic-embed-text-v2,"Nomic's mixture-of-experts text embedding served via the Atlas API — open-weight sibling published on HuggingFace, hosted tier with binary quantization support.",hosted-service,unknown,true,"[""nomic"",""atlas"",""moe""]",nomic-embed-text-v2,Nomic AI,,,,,,false,free Atlas tier (rate-limited),api,proprietary,embedding,"[""matryoshka-dimensions"",""binary-quantization"",""multilingual""]",documentation,normal,specific
google/canine-c,https://huggingface.co/google/canine-c,"feature extraction (transformers) — license: apache-2.0 — 779,196 downloads",base-model,unknown,false,"[""transformers"",""pytorch"",""safetensors"",""canine"",""feature-extraction"",""multilingual"",""af"",""sq"",""ar"",""an"",""hy"",""ast""]",google/canine-c,google,google,feature-extraction,779196,36,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
Amazon Titan Text Embeddings V2,https://docs.aws.amazon.com/bedrock/latest/userguide/titan-embedding-models.html#amazon-titan-embed-text-v2,Amazon's text embedding model on Bedrock — enterprise-governed embeddings with flexible dimensions and binary vector support for OpenSearch/pgvector pipelines.,hosted-service,unknown,false,"[""aws"",""bedrock"",""enterprise""]",amazon.titan-embed-text-v2,Amazon,,,,,,false,,api,proprietary,embedding,"[""matryoshka-dimensions"",""binary-quantization"",""multilingual""]",documentation,normal,specific
danielheinz/e5-base-sts-en-de,https://huggingface.co/danielheinz/e5-base-sts-en-de,"feature extraction (transformers) — license: mit — 574,743 downloads",base-model,unknown,false,"[""transformers"",""safetensors"",""xlm-roberta"",""feature-extraction"",""de"",""model-index"",""text-embeddings-inference"",""endpoints_compatible""]",danielheinz/e5-base-sts-en-de,danielheinz,danielheinz,feature-extraction,574743,17,mit,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
boboliu/Qwen3-Embedding-4B-W4A16-G128,https://huggingface.co/boboliu/Qwen3-Embedding-4B-W4A16-G128,"feature extraction (sentence-transformers) — license: apache-2.0 — 546,653 downloads",base-model,unknown,false,"[""sentence-transformers"",""safetensors"",""qwen3"",""text-generation"",""transformers"",""sentence-similarity"",""feature-extraction"",""text-embeddings-inference"",""endpoints_compatible"",""compressed-tensors""]",boboliu/Qwen3-Embedding-4B-W4A16-G128,boboliu,boboliu,feature-extraction,546653,5,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
worstchan/EAT-base_epoch30_finetune_AS2M,https://huggingface.co/worstchan/EAT-base_epoch30_finetune_AS2M,"feature extraction (transformers) — license: mit — 346,455 downloads",base-model,unknown,false,"[""transformers"",""safetensors"",""eat"",""feature-extraction"",""audio"",""ssl"",""eat"",""custom_code""]",worstchan/EAT-base_epoch30_finetune_AS2M,worstchan,worstchan,feature-extraction,346455,3,mit,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
Alibaba-NLP/gte-large-en-v1.5,https://huggingface.co/Alibaba-NLP/gte-large-en-v1.5,"sentence similarity (transformers) — license: apache-2.0 — 1,140,078 downloads",base-model,unknown,false,"[""transformers"",""onnx"",""safetensors"",""new"",""feature-extraction"",""sentence-transformers"",""gte"",""mteb"",""transformers.js"",""sentence-similarity"",""custom_code"",""en""]",Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP,Alibaba-NLP,sentence-similarity,1140078,238,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
facebook/hubert-base-ls960,https://huggingface.co/facebook/hubert-base-ls960,"feature extraction (transformers) — license: apache-2.0 — 268,994 downloads",base-model,unknown,false,"[""transformers"",""pytorch"",""tf"",""hubert"",""feature-extraction"",""speech"",""en"",""endpoints_compatible""]",facebook/hubert-base-ls960,facebook,facebook,feature-extraction,268994,73,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
thenlper/gte-base,https://huggingface.co/thenlper/gte-base,"sentence similarity (sentence-transformers) — license: mit — 439,045 downloads",base-model,unknown,false,"[""sentence-transformers"",""pytorch"",""onnx"",""safetensors"",""openvino"",""bert"",""mteb"",""sentence-similarity"",""sentence transformers"",""en"",""model-index"",""text-embeddings-inference""]",thenlper/gte-base,thenlper,thenlper,sentence-similarity,439045,131,mit,true,open weights — free to self-host (HF Hub),open-weight,oss,embedding,[],registry-hosted,normal,specific
