name,url,description,category,pricing,hasApi,tags,modelId,provider,author,pipelineTag,downloads,likes,license,isFree,freeTier,availability,licenseTier,modalityClass,capabilities,urlDomainTier,descriptionLengthTier,categorizationTier
John6666/hassaku-xl-illustrious-v21-sdxl,https://huggingface.co/John6666/hassaku-xl-illustrious-v21-sdxl,"text to image (diffusers) — license: other — 22,472 downloads",base-model,unknown,false,"[""diffusers"",""safetensors"",""text-to-image"",""stable-diffusion"",""stable-diffusion-xl"",""anime"",""hentai"",""characters"",""girls"",""background"",""structure"",""details""]",John6666/hassaku-xl-illustrious-v21-sdxl,John6666,John6666,text-to-image,22472,1,other,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,[],registry-hosted,normal,specific
xinsir/controlnet-canny-sdxl-1.0,https://huggingface.co/xinsir/controlnet-canny-sdxl-1.0,"text to image (diffusers) — license: apache-2.0 — 19,848 downloads",controlnet,unknown,false,"[""diffusers"",""safetensors"",""text_to_image"",""controlnet"",""controlnet-canny-sdxl-1.0"",""text-to-image""]",xinsir/controlnet-canny-sdxl-1.0,xinsir,xinsir,text-to-image,19848,200,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,text-to-image,"[""controlnet""]",registry-hosted,normal,specific
Google Imagen 4,https://ai.google.dev/gemini-api/docs/imagen,Google DeepMind's text-to-image model family served through the Gemini API and Vertex AI — strong typography and photorealistic detail.,hosted-service,unknown,true,"[""google"",""gemini-api"",""vertex-ai""]",imagen-4,Google,,,,,,false,,api,proprietary,text-to-image,"[""text-rendering""]",commercial,normal,specific
nerijs/pixel-art-xl,https://huggingface.co/nerijs/pixel-art-xl,"text to image (diffusers) — license: creativeml-openrail-m — 11,916 downloads",lora-adapter,unknown,false,"[""diffusers"",""text-to-image"",""stable-diffusion"",""lora""]",nerijs/pixel-art-xl,nerijs,nerijs,text-to-image,11916,627,creativeml-openrail-m,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,"[""lora-adapter""]",registry-hosted,normal,specific
optimum-intel-internal-testing/tiny-random-flux,https://huggingface.co/optimum-intel-internal-testing/tiny-random-flux,"text to image (diffusers) — 199,154 downloads",base-model,unknown,false,"[""diffusers"",""safetensors"",""endpoints_compatible"",""diffusers:fluxpipeline""]",optimum-intel-internal-testing/tiny-random-flux,optimum-intel-internal-testing,optimum-intel-internal-testing,text-to-image,199154,0,,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,[],registry-hosted,terse,specific
xinsir/controlnet-union-sdxl-1.0,https://huggingface.co/xinsir/controlnet-union-sdxl-1.0,"text to image (diffusers) — license: apache-2.0 — 140,303 downloads",controlnet,unknown,false,"[""diffusers"",""safetensors"",""text-to-image"",""controlnet"",""diffusers"",""stable diffusion"",""text-to-image""]",xinsir/controlnet-union-sdxl-1.0,xinsir,xinsir,text-to-image,140303,1790,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,text-to-image,"[""controlnet""]",registry-hosted,normal,specific
Midjourney v7,https://docs.midjourney.com/,Midjourney's flagship image model — subscription product accessed via Discord and the Midjourney web editor; no public self-serve API (partner integrations only).,hosted-service,unknown,true,"[""midjourney"",""subscription""]",midjourney-v7,Midjourney,,,,,,false,,hosted,proprietary,text-to-image,"[""style-control""]",documentation,normal,specific
artificialguybr/ColoringBookRedmond-V2,https://huggingface.co/artificialguybr/ColoringBookRedmond-V2,"text to image (diffusers) — license: creativeml-openrail-m — 9,497 downloads",lora-adapter,unknown,false,"[""diffusers"",""text-to-image"",""stable-diffusion"",""lora""]",artificialguybr/ColoringBookRedmond-V2,artificialguybr,artificialguybr,text-to-image,9497,45,creativeml-openrail-m,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,"[""lora-adapter""]",registry-hosted,normal,specific
votepurchase/pornmasterPro_noobV3VAE,https://huggingface.co/votepurchase/pornmasterPro_noobV3VAE,"text to image (diffusers) — license: creativeml-openrail-m — 11,667 downloads",base-model,unknown,false,"[""diffusers"",""safetensors"",""text-to-image"",""stable-diffusion"",""stable-diffusion-xl"",""realistic"",""photorealistic"",""endpoints_compatible"",""diffusers:stablediffusionxlpipeline""]",votepurchase/pornmasterPro_noobV3VAE,votepurchase,votepurchase,text-to-image,11667,18,creativeml-openrail-m,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,[],registry-hosted,normal,specific
xinsir/controlnet-openpose-sdxl-1.0,https://huggingface.co/xinsir/controlnet-openpose-sdxl-1.0,"text to image (diffusers) — license: apache-2.0 — 98,395 downloads",controlnet,unknown,false,"[""diffusers"",""safetensors"",""openpose"",""controlnet"",""controlnet-openpose-sdxl-1.0"",""text_to_image"",""text-to-image""]",xinsir/controlnet-openpose-sdxl-1.0,xinsir,xinsir,text-to-image,98395,299,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,text-to-image,"[""controlnet""]",registry-hosted,normal,specific
Seedream 4.0 (ByteDance),https://www.volcengine.com/docs/82379/1541523,ByteDance's Seedream text-to-image model served via Volcano Engine (Ark) and partner platforms — bilingual prompt handling and high-resolution output.,hosted-service,unknown,false,"[""bytedance"",""seedream"",""volcengine""]",seedream-4.0,ByteDance,,,,,,false,,api,proprietary,text-to-image,"[""text-rendering""]",commercial,normal,specific
ostris/krea2_turbo_training_adapter,https://huggingface.co/ostris/krea2_turbo_training_adapter,"text to image (diffusers) — license: other — 10,953 downloads",lora-adapter,unknown,false,"[""diffusers"",""text-to-image"",""lora"",""template:diffusion-lora""]",ostris/krea2_turbo_training_adapter,ostris,ostris,text-to-image,10953,15,other,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,"[""lora-adapter""]",registry-hosted,normal,specific
stabilityai/sd-turbo,https://huggingface.co/stabilityai/sd-turbo,"text to image (diffusers) — 595,906 downloads",base-model,unknown,false,"[""diffusers"",""safetensors"",""text-to-image"",""diffusers:stablediffusionpipeline""]",stabilityai/sd-turbo,stabilityai,stabilityai,text-to-image,595906,455,,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,[],registry-hosted,terse,specific
stabilityai/stable-diffusion-3.5-large-controlnet-depth,https://huggingface.co/stabilityai/stable-diffusion-3.5-large-controlnet-depth,"text to image (diffusers) — license: other — 17,229 downloads",controlnet,unknown,false,"[""diffusers"",""safetensors"",""stable-diffusion"",""controlnet"",""text-to-image"",""en""]",stabilityai/stable-diffusion-3.5-large-controlnet-depth,stabilityai,stabilityai,text-to-image,17229,15,other,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,"[""controlnet""]",registry-hosted,normal,specific
Amazon Nova Canvas,https://docs.aws.amazon.com/nova/latest/userguide/image-generation.html,Amazon's image generation model on Bedrock — enterprise-governed text-to-image and editing with watermarking and content credentials.,hosted-service,unknown,false,"[""aws"",""bedrock"",""enterprise""]",amazon-nova-canvas,Amazon,,,,,,false,,api,proprietary,text-to-image,"[""image-editing"",""watermarking""]",documentation,normal,specific
Wuli-art/Qwen-Image-2512-Turbo-LoRA-2-Steps,https://huggingface.co/Wuli-art/Qwen-Image-2512-Turbo-LoRA-2-Steps,"text to image (diffusers) — license: apache-2.0 — 23,184 downloads",lora-adapter,unknown,false,"[""diffusers"",""qwen"",""distillation"",""lora"",""text-to-image"",""en"",""zh""]",Wuli-art/Qwen-Image-2512-Turbo-LoRA-2-Steps,Wuli-art,Wuli-art,text-to-image,23184,119,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,text-to-image,"[""lora-adapter""]",registry-hosted,normal,specific
lovis93/testllm,https://huggingface.co/lovis93/testllm,"text to image (diffusers) — license: other — 26,482 downloads",base-model,unknown,false,"[""diffusers"",""safetensors"",""text-to-image"",""image-generation"",""flux"",""en"",""endpoints_compatible"",""diffusers:fluxpipeline""]",lovis93/testllm,lovis93,lovis93,text-to-image,26482,12,other,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,[],registry-hosted,normal,specific
diffusers/controlnet-depth-sdxl-1.0,https://huggingface.co/diffusers/controlnet-depth-sdxl-1.0,"text to image (diffusers) — license: openrail++ — 20,507 downloads",controlnet,unknown,false,"[""diffusers"",""safetensors"",""stable-diffusion-xl"",""stable-diffusion-xl-diffusers"",""text-to-image"",""controlnet""]",diffusers/controlnet-depth-sdxl-1.0,diffusers,diffusers,text-to-image,20507,204,openrail++,true,open weights — free to self-host (HF Hub),open-weight,open-weight,text-to-image,"[""controlnet""]",registry-hosted,normal,specific
Recraft V3,https://www.recraft.ai/docs,"Recraft's design-oriented image model API — native vector/SVG output, brand-style control, and precise text placement for design workflows.",hosted-service,unknown,true,"[""recraft"",""design"",""vector""]",recraft-v3,Recraft,,,,,,false,,api,proprietary,text-to-image,"[""text-rendering"",""svg-output"",""style-control""]",commercial,normal,specific
RomixERR/Pornmaster_v1-Z-Images-Turbo,https://huggingface.co/RomixERR/Pornmaster_v1-Z-Images-Turbo,"text to image (diffusers) — license: apache-2.0 — 8,493 downloads",lora-adapter,unknown,false,"[""diffusers"",""text-to-image"",""lora"",""template:diffusion-lora""]",RomixERR/Pornmaster_v1-Z-Images-Turbo,RomixERR,RomixERR,text-to-image,8493,87,apache-2.0,true,open weights — free to self-host (HF Hub),open-weight,oss,text-to-image,"[""lora-adapter""]",registry-hosted,normal,specific
