name,url,description,category,pricing,hasApi,tags,modelId,modelName,provider,providerSlug,contextLength,pricingPromptUsd,pricingCompletionUsd,pricingPromptPerMillionUsd,pricingCompletionPerMillionUsd,costEfficiencyScore,costTierAbsolute,useCaseTier,contextTier,modalityTier,uptimeTier,releaseRecencyTier,featureRichnessTier,quantizationTier,maxOutputTier,providerDiversityTier,knowledgeCutoffRecencyTier,providerTier,modality,inputModalities,outputModalities,quantization,maxCompletionTokens,uptimeLast30dPct,supportedParameters,knowledgeCutoff,releaseDate,providerHeadquarters,providerDatacenters,isFree,freeTier,pricingUnit,availability,licenseTier,modalityClass,capabilities,urlDomainTier,descriptionLengthTier,categorizationTier
OpenAI: GPT-5 Mini via Azure [unknown],https://openrouter.ai/openai/gpt-5-mini#provider=azure-unknown,"GPT-5 Mini is a compact version of GPT-5, designed to handle lighter-weight reasoning tasks. It provides the same instruction-following and safety-tuning benefits as GPT-5, but with reduced latency and cost.... — 400,000 context, $0.25/M input, $2.00/M output via Azure.",multimodal,unknown,false,[],openai/gpt-5-mini,OpenAI: GPT-5 Mini,Azure,azure,400000,2.5e-7,0.000002,0.25,2,cheap50pct,cheap,multimodal,large,multimodal-text-out,unknown,current,advanced,unknown,unknown,multi,stale,hyperscaler,text+image+file->text,"[""text"",""image"",""file""]","[""text""]",unknown,0,0,"[""max_completion_tokens"",""reasoning"",""include_reasoning"",""seed"",""response_format"",""structured_outputs"",""tools"",""tool_choice""]",2024-05-31,2025-08-07,US,[],false,,per-mtok,api,proprietary,llm,"[""function-calling"",""json-mode"",""reasoning"",""vision-input"",""file-input""]",commercial,detailed,specific
MoonshotAI: Kimi K2.6 via Fireworks [unknown],https://openrouter.ai/moonshotai/kimi-k2.6#provider=fireworks-unknown,"Kimi K2.6 is Moonshot AI's next-generation multimodal model, designed for long-horizon coding, coding-driven UI/UX generation, and multi-agent orchestration. It handles complex end-to-end coding tasks across Python, Rust, and Go, and... — 262,144 context, $0.95/M input, $4.00/M output via Fireworks.",reasoning,unknown,false,[],moonshotai/kimi-k2.6,MoonshotAI: Kimi K2.6,Fireworks,fireworks,262144,9.499999999999999e-7,0.000004,0.95,4,midrange,mid,multimodal,large,multimodal-text-out,unknown,fresh,advanced,unknown,unknown,ubiquitous,unknown,aggregator,text+image->text,"[""text"",""image""]","[""text""]",unknown,0,0,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""top_k"",""repetition_penalty"",""logit_bias"",""logprobs"",""top_logprobs"",""response_format"",""structured_outputs"",""tools"",""tool_choice""]",,2026-04-20,US,[],false,,per-mtok,api,open-weight,llm,"[""function-calling"",""json-mode"",""reasoning"",""vision-input""]",commercial,detailed,specific
Inflection: Inflection 3 Productivity via Inflection [unknown],https://openrouter.ai/inflection/inflection-3-productivity#provider=inflection-unknown,"Inflection 3 Productivity is optimized for following instructions. It is better for tasks requiring JSON output or precise adherence to provided guidelines. It has access to recent news. For emotional... — 8,000 context, $2.50/M input, $10.00/M output via Inflection.",text-generation,unknown,false,[],inflection/inflection-3-productivity,Inflection: Inflection 3 Productivity,Inflection,inflection,8000,0.0000025,0.00001,2.5,10,expensive,mid,chat,small,text-only,unknown,legacy,basic,unknown,small,single,dated,aggregator,text->text,"[""text""]","[""text""]",unknown,1024,0,"[""max_tokens"",""temperature"",""top_p"",""stop""]",2024-10-31,2024-10-11,,[],false,,per-mtok,api,proprietary,llm,[],commercial,detailed,specific
Google: Gemini 2.5 Pro Preview 05-06 via Google AI Studio [unknown],https://openrouter.ai/google/gemini-2.5-pro-preview-05-06#provider=google-ai-studio-unknown,"Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reasoning, coding, mathematics, and scientific tasks. It employs “thinking” capabilities, enabling it to reason through responses with enhanced accuracy... — 1,048,576 context, $1.25/M input, $10.00/M output via Google AI Studio.",audio,unknown,false,[],google/gemini-2.5-pro-preview-05-06,Google: Gemini 2.5 Pro Preview 05-06,Google AI Studio,google-ai-studio,1048576,0.00000125,0.00001,1.25,10,expensive,mid,audio,xlarge,audio-io,acceptable,legacy,advanced,unknown,large,multi,dated,frontier-lab,text+image+file+audio+video->text,"[""text"",""image"",""file"",""audio"",""video""]","[""text""]",unknown,65536,97.91,"[""reasoning"",""include_reasoning"",""structured_outputs"",""response_format"",""max_tokens"",""temperature"",""top_p"",""seed"",""tools"",""tool_choice""]",2025-01-31,2025-05-07,US,[],false,,per-mtok,api,proprietary,llm,"[""function-calling"",""json-mode"",""reasoning"",""vision-input"",""file-input"",""audio-input""]",commercial,detailed,specific
MythoMax 13B via Mancer 2 [fp8],https://openrouter.ai/gryphe/mythomax-l2-13b#provider=mancer-2-fp8,"One of the highest performing and most popular fine-tunes of Llama 2 13B, with rich descriptions and roleplay. #merge — 8,192 context, $0.50/M input, $0.75/M output via Mancer 2.",chat,unknown,false,[],gryphe/mythomax-l2-13b,MythoMax 13B,Mancer 2,mancer-2,8192,5e-7,7.5e-7,0.5,0.75,cheap50pct,cheap,chat,small,text-only,good,deprecated,standard,reduced-precision,small,multi,stale,aggregator,text->text,"[""text""]","[""text""]",fp8,2048,99.83,"[""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""logit_bias"",""top_k"",""min_p"",""seed"",""top_a"",""response_format"",""logprobs"",""top_logprobs"",""structured_outputs""]",2023-06-30,2023-07-02,,[],false,,per-mtok,api,open-weight,llm,"[""json-mode""]",commercial,normal,specific
OpenAI: GPT-5.4 Image 2 via OpenAI [unknown],https://openrouter.ai/openai/gpt-5.4-image-2#provider=openai-unknown,"[GPT-5.4](https://openrouter.ai/openai/gpt-5.4) Image 2 combines OpenAI's GPT-5.4 model with state-of-the-art image generation capabilities from GPT Image 2. It enables rich multimodal workflows, allowing users to seamlessly move between reasoning, coding, and... — 272,000 context, $8.00/M input, $15.00/M output via OpenAI.",image-generation,unknown,false,[],openai/gpt-5.4-image-2,OpenAI: GPT-5.4 Image 2,OpenAI,openai,272000,0.000008,0.000015,8,15,expensive,mid,vision,large,image-out,excellent,fresh,standard,unknown,xlarge,single,unknown,frontier-lab,text+image+file->text+image,"[""image"",""text"",""file""]","[""image"",""text""]",unknown,128000,100,"[""reasoning"",""include_reasoning"",""seed"",""max_tokens"",""response_format"",""structured_outputs"",""stop"",""frequency_penalty"",""presence_penalty"",""logit_bias"",""logprobs"",""top_logprobs""]",,2026-04-21,US,[],false,,per-mtok,api,proprietary,llm,"[""json-mode"",""reasoning"",""vision-input"",""file-input""]",commercial,detailed,specific
Google: Gemma 3 12B via DeepInfra [bf16],https://openrouter.ai/google/gemma-3-12b-it#provider=deepinfra-bf16,"Gemma 3 introduces multimodality, supporting vision-language input and text outputs. It handles context windows up to 128k tokens, understands over 140 languages, and offers improved math, reasoning, and chat capabilities,... — 131,072 context, $0.05/M input, $0.15/M output via DeepInfra.",multimodal,unknown,false,[],google/gemma-3-12b-it,Google: Gemma 3 12B,DeepInfra,deepinfra,131072,5e-8,1.5e-7,0.05,0.15,cheapest25pct,cheap,multimodal,large,multimodal-text-out,excellent,legacy,rich,half-precision,medium,single,dated,aggregator,text+image->text,"[""text"",""image""]","[""text""]",bf16,16384,100,"[""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""top_k"",""seed"",""min_p"",""response_format"",""logit_bias"",""structured_outputs"",""tools"",""tool_choice""]",2024-08-31,2025-03-13,US,[],false,,per-mtok,api,open-weight,llm,"[""function-calling"",""json-mode"",""vision-input""]",commercial,detailed,specific
OpenAI: gpt-oss-20b via Parasail [fp4],https://openrouter.ai/openai/gpt-oss-20b#provider=parasail-fp4,"gpt-oss-20b is an open-weight 21B parameter model released by OpenAI under the Apache 2.0 license. It uses a Mixture-of-Experts (MoE) architecture with 3.6B active parameters per forward pass, optimized for... — 131,072 context, $0.04/M input, $0.20/M output via Parasail.",reasoning,unknown,false,[],openai/gpt-oss-20b,OpenAI: gpt-oss-20b,Parasail,parasail,131072,4e-8,2e-7,0.04,0.2,cheapest25pct,cheap,chat,large,text-only,poor,current,advanced,reduced-precision,xlarge,ubiquitous,stale,aggregator,text->text,"[""text""]","[""text""]",fp4,131072,61.64,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""seed"",""stop"",""top_k"",""logit_bias"",""response_format"",""structured_outputs"",""tools"",""tool_choice"",""logprobs"",""top_logprobs""]",2024-06-30,2025-08-05,US,[],false,,per-mtok,api,open-weight,llm,"[""function-calling"",""json-mode"",""reasoning""]",commercial,detailed,specific
Pareto Code Router via OpenRouter,https://openrouter.ai/openrouter/pareto-code#provider=openrouter,"The Pareto Router maintains a tiered shortlist of strong coding models, ranked by [Artificial Analysis](https://artificialanalysis.ai/) coding percentiles. Set min_coding_score between 0 and 1 on the [pareto-router plugin](https://openrouter.ai/docs/guides/routing/routers/pareto-router#the-min_coding_score-parameter) to control how... — 2,000,000 context, $-1000000.00/M input, $-1000000.00/M output via OpenRouter.",text-generation,unknown,false,[],openrouter/pareto-code,Pareto Code Router,OpenRouter,openrouter,2000000,-1,-1,-1000000,-1000000,cheapest25pct,cheap,code,xlarge,text-only,unknown,fresh,unknown,unknown,unknown,single,unknown,aggregator,text->text,"[""text""]","[""text""]",,0,0,[],,2026-04-21,,[],false,,per-mtok,api,proprietary,llm,[],commercial,detailed,specific
Google: Gemini 3.1 Flash Lite via Google AI Studio [unknown],https://openrouter.ai/google/gemini-3.1-flash-lite#provider=google-ai-studio-unknown,"Gemini 3.1 Flash Lite is Google’s GA high-efficiency multimodal model optimized for low-latency, high-volume workloads. It supports text, image, video, audio, and PDF inputs, and is designed for lightweight agentic... — 1,048,576 context, $0.25/M input, $1.50/M output via Google AI Studio.",audio,unknown,false,[],google/gemini-3.1-flash-lite,Google: Gemini 3.1 Flash Lite,Google AI Studio,google-ai-studio,1048576,2.5e-7,0.0000015,0.25,1.5,cheap50pct,cheap,audio,xlarge,audio-io,good,fresh,advanced,unknown,large,multi,unknown,frontier-lab,text+image+file+audio+video->text,"[""text"",""image"",""video"",""file"",""audio""]","[""text""]",unknown,65536,99.49,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""seed"",""response_format"",""structured_outputs"",""tool_choice"",""tools""]",,2026-05-07,US,[],false,,per-mtok,api,proprietary,llm,"[""function-calling"",""json-mode"",""reasoning"",""vision-input"",""file-input"",""audio-input""]",commercial,detailed,specific
NVIDIA: Nemotron 3 Super via DekaLLM [fp8],https://openrouter.ai/nvidia/nemotron-3-super-120b-a12b#provider=dekallm-fp8,"NVIDIA Nemotron 3 Super is a 120B-parameter open hybrid MoE model, activating just 12B parameters for maximum compute efficiency and accuracy in complex multi-agent applications. Built on a hybrid Mamba-Transformer... — 262,144 context, $0.09/M input, $0.45/M output via DekaLLM.",chat,unknown,false,[],nvidia/nemotron-3-super-120b-a12b,NVIDIA: Nemotron 3 Super,DekaLLM,dekallm,262144,9e-8,4.5e-7,0.09,0.45,cheapest25pct,cheap,chat,large,text-only,acceptable,fresh,advanced,reduced-precision,unknown,multi,unknown,aggregator,text->text,"[""text""]","[""text""]",fp8,0,96.33,"[""reasoning"",""include_reasoning"",""frequency_penalty"",""logit_bias"",""max_tokens"",""presence_penalty"",""seed"",""stop"",""temperature"",""top_p"",""tools"",""tool_choice"",""logprobs"",""top_logprobs"",""response_format"",""structured_outputs""]",,2026-03-11,ID,"[""ID""]",false,,per-mtok,api,open-weight,llm,"[""function-calling"",""json-mode"",""reasoning""]",commercial,detailed,specific
Auto Router via OpenRouter,https://openrouter.ai/openrouter/auto#provider=openrouter,"Your prompt will be processed by a meta-model and routed to one of dozens of models (see below), optimizing for the best possible output. To see which model was used,... — 2,000,000 context, $-1000000.00/M input, $-1000000.00/M output via OpenRouter.",image-generation,unknown,false,[],openrouter/auto,Auto Router,OpenRouter,openrouter,2000000,-1,-1,-1000000,-1000000,cheapest25pct,cheap,vision,xlarge,audio-io,unknown,deprecated,advanced,unknown,unknown,single,unknown,aggregator,text+image+file+audio+video->text+image,"[""text"",""image"",""audio"",""file"",""video""]","[""text"",""image""]",,0,0,"[""frequency_penalty"",""include_reasoning"",""logit_bias"",""logprobs"",""max_completion_tokens"",""max_tokens"",""min_p"",""presence_penalty"",""reasoning"",""repetition_penalty"",""response_format"",""seed"",""stop"",""structured_outputs"",""temperature"",""tool_choice"",""tools"",""top_a"",""top_k"",""top_logprobs"",""top_p"",""web_search_options""]",,2023-11-08,,[],false,,per-mtok,api,proprietary,llm,"[""function-calling"",""json-mode"",""reasoning"",""vision-input"",""file-input"",""audio-input""]",commercial,detailed,specific
OpenAI: GPT-5 Pro via OpenAI [unknown],https://openrouter.ai/openai/gpt-5-pro#provider=openai-unknown,"GPT-5 Pro is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, and user experience. It is optimized for complex tasks that require step-by-step reasoning, instruction following, and... — 400,000 context, $15.00/M input, $120.00/M output via OpenAI.",multimodal,unknown,false,[],openai/gpt-5-pro,OpenAI: GPT-5 Pro,OpenAI,openai,400000,0.000015,0.00012,15,120,expensive,premium,multimodal,large,multimodal-text-out,excellent,current,advanced,unknown,xlarge,single,dated,frontier-lab,text+image+file->text,"[""image"",""text"",""file""]","[""text""]",unknown,128000,100,"[""reasoning"",""include_reasoning"",""structured_outputs"",""response_format"",""seed"",""max_tokens"",""tools"",""tool_choice""]",2024-09-30,2025-10-06,US,[],false,,per-mtok,api,proprietary,llm,"[""function-calling"",""json-mode"",""reasoning"",""vision-input"",""file-input""]",commercial,detailed,specific
MoonshotAI: Kimi K2.5 via Phala [unknown],https://openrouter.ai/moonshotai/kimi-k2.5#provider=phala-unknown,"Kimi K2.5 is Moonshot AI's native multimodal model, delivering state-of-the-art visual coding capability and a self-directed agent swarm paradigm. Built on Kimi K2 with continued pretraining over approximately 15T mixed... — 262,144 context, $0.60/M input, $3.00/M output via Phala.",reasoning,unknown,false,[],moonshotai/kimi-k2.5,MoonshotAI: Kimi K2.5,Phala,phala,262144,6e-7,0.000003,0.6,3,midrange,mid,multimodal,large,multimodal-text-out,poor,fresh,advanced,unknown,xlarge,ubiquitous,unknown,specialized,text+image->text,"[""text"",""image""]","[""text""]",unknown,262144,84.7,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""seed"",""top_k"",""min_p"",""repetition_penalty"",""response_format"",""structured_outputs"",""tool_choice"",""tools""]",,2026-01-27,US,[],false,,per-mtok,api,open-weight,llm,"[""function-calling"",""json-mode"",""reasoning"",""vision-input""]",commercial,detailed,specific
Z.ai: GLM 5.1 via GMICloud [fp8],https://openrouter.ai/z-ai/glm-5.1#provider=gmicloud-fp8,"GLM-5.1 delivers a major leap in coding capability, with particularly significant gains in handling long-horizon tasks. Unlike previous models built around minute-level interactions, GLM-5.1 can work independently and continuously on... — 202,752 context, $0.98/M input, $3.08/M output via GMICloud.",text-generation,unknown,false,[],z-ai/glm-5.1,Z.ai: GLM 5.1,GMICloud,gmicloud,202752,9.8e-7,0.00000308,0.98,3.08,midrange,mid,chat,large,text-only,acceptable,fresh,basic,reduced-precision,unknown,ubiquitous,unknown,aggregator,text->text,"[""text""]","[""text""]",fp8,0,95.43,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""seed"",""logprobs"",""top_logprobs""]",,2026-04-07,US,"[""US""]",false,,per-mtok,api,open-weight,llm,"[""reasoning""]",commercial,detailed,specific
Google: Gemini 2.5 Pro Preview 05-06 via Google [unknown],https://openrouter.ai/google/gemini-2.5-pro-preview-05-06#provider=google-unknown,"Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reasoning, coding, mathematics, and scientific tasks. It employs “thinking” capabilities, enabling it to reason through responses with enhanced accuracy... — 1,048,576 context, $1.25/M input, $10.00/M output via Google.",audio,unknown,false,[],google/gemini-2.5-pro-preview-05-06,Google: Gemini 2.5 Pro Preview 05-06,Google,google,1048576,0.00000125,0.00001,1.25,10,expensive,mid,audio,xlarge,audio-io,acceptable,legacy,advanced,unknown,large,multi,dated,hyperscaler,text+image+file+audio+video->text,"[""text"",""image"",""file"",""audio"",""video""]","[""text""]",unknown,65536,97.19,"[""reasoning"",""include_reasoning"",""structured_outputs"",""response_format"",""max_tokens"",""temperature"",""top_p"",""seed"",""tools"",""tool_choice"",""stop""]",2025-01-31,2025-05-07,US,[],false,,per-mtok,api,proprietary,llm,"[""function-calling"",""json-mode"",""reasoning"",""vision-input"",""file-input"",""audio-input""]",commercial,detailed,specific
